Statement Type,Reversed / Corrected Statement No.,Charge Period Start Date,Charge Period End Date,No. Of Days,Statement Issue Date,Due Date,Bill Service Alias,NMI,Site Address,Fuel,Balance at Last Invoice $,Payments & Transactions $,Balance Carried forward $,Energy Charges_EX_GST_$,Network Charges_EX_GST_$,Regulated Charges_EX_GST_$,Environmental Charges_EX_GST_$,Metering & Service Charges Ex GST $,Retail Service Charges $,New Charges_EX GST $,New Charges GST $,New Charges Total $,Dispute $,RCTI Charges Ex GST$,RCTI Charges GST$,Adjustment Reason,Original / Amended Charges,Credit & Adjustment_EX_GST_$,Credit & Adjustment_GST_$,Balance $,Component Start Date,Component End Date,Metering Provider,Meter Number,Previous Meter Read,Current Meter Read,Next Scheduled Read Date,Meter Multiplier,Read Type,Read Reason,Total Consumption for Period,Total Generation for Period,Power Factor at Highest Demand,Highest Metered Demand (kW),Highest Metered (kW) Demand Date/Time,Highest Metered Demand (kVa),Highest Metered (kVa) Demand Date/Time,Load Factor,Contract Demand (kW),Contract Demand (kVa),LNSP,Network Tariff,Network Tariff Description,Invoice Heading Group 1,Invoice Heading Group 2,Charge Description,Analysis Code,Tariff Base Rate,Tariff UOM,Tariff Days,Published Certificate %,DLF,TLF,Quantity,Tariff Quantity UOM,GST Applicable,Component Cost$ (excl GST),Component$ GST,Component Cost$ (incl GST),Year to Date Consumption,Year to Date Total Charges (Incl GST),Supplier,Supplier ABN
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Energy Charges,Energy Charges,Peak,,7.558,¢/KWH,31,,1.0903,1.0009,391883.19,KWH,Yes,32322.15,3232.22,35554.37,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Energy Charges,Energy Charges,Off-Peak,,5.156,¢/KWH,31,,1.0903,1.0009,643839.29,KWH,Yes,36226.56,3622.66,39849.22,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Network Charges,Demand and Capacity,Anytime (KVA),,3.162,$/KVA,31,,,,1685.77,KVA,Yes,5330.4,533.04,5863.44,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Network Charges,Demand and Capacity,Peak Annual (kVA),,8.3111,$/KVA,31,,,,1659.49,KVA,Yes,13792.19,1379.22,15171.41,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Network Charges,Volume,Peak,,6.85,¢/KWH,31,,,,391797.07,KWH,Yes,26838.1,2683.81,29521.91,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Network Charges,Volume,Off-Peak,,4.28,¢/KWH,31,,,,643925.41,KWH,Yes,27560.01,2756,30316.01,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Network Charges,Fixed,Access Charge,,6.7402,$/DAY,31,,,,31,DAYS,Yes,208.95,20.9,229.85,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Regulated Charges,Regulated Charges,AEMO Participant Charge,,0.0991,¢/KWH,31,,1.0903,,1035722.48,KWH,Yes,1119.08,111.91,1230.99,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Regulated Charges,Regulated Charges,AEMO Ancillary Charge,,0.0493,¢/KWH,31,,1.0903,,1035722.48,KWH,Yes,556.72,55.67,612.39,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
Tax Invoice,,1/10/2022,31/10/2022,31,7/11/2022,7/12/2022,,SAAAAAA4034,Waymouth Exchange 67 Waymouth Street Adelaide SA 5000,E,150157.65,0,150157.65,68548.71,73729.65,1675.91,3274.82,151.19,0,147380.28,14738.04,162118.32,,0,0,,,8150.75,815.08,321241.8,1/10/2022,31/10/2022,Select Solutions Group Pty Ltd MC,,,,,,,Scheduled Read,1035722.48,,0.975,,,1681.34,21 Oct 2022/12:00:00,0.85,,,UMPLP - SA Power Networks (formally ETSA Utilities) ,LBADCBD,,Regulated Charges,Regulated Charges,AEMO FRC Operations,,0.3599,¢/DAY,31,,,,31,DAYS,Yes,0.11,0.01,0.12,4122745.73,815085.06,Origin Energy Electricity Limited,33 071 052 287
